,ISIN,NAME
696,BMG8114Z1014,Cosco International HANDELSUNIVERSUM
697,BMG812761002,Signet Jewelers
698,BMG8162K1137,Sihuan
699,BMG8181C1001,Skyworth
700,BMG8219Z1059,SmarTone Telecom
701,BMG8403G1033,Sinofert
702,BMG8571C2494,Suncorp Technologies
703,BMG864081044,Sylvania Platinum
704,BMG8770Z1068,Texwinca Holdings
705,BMG9108L1735,Tsakos Energy
706,BMG9430N1039,Wanda Hotel Development
707,BMG9456A1009,Golar LNG
708,BMG9604B1090,Wuling Motors
709,BMG9716V1000,Wing Tai Properties
710,BMG988031446,Yue Yuen Industrial
711,BMG9880L1028,Yuexiu Transport
712,BRBBDCACNPR8,Bradesco
713,BRBRAPACNOR5,Bradespar
714,BRBRAPACNPR2,Bradespar (Reg Shares)
715,BRBRKMACNPA4,Braskem
716,BRCMIGACNPR3,CEMIG
717,BRCPLEACNPB9,COPEL
718,BRELETACNOR6,Eletrobras
719,BRELETACNPB7,Eletrobras (B)
720,BRGGBRACNPR8,GERDAU S.A. PFD
721,BRPETRACNOR9,Petroleo Brasileiro
722,BRPETRACNPR6,Petroleo Brasileiro (Pref Shares)
723,BRUSIMACNPA6,USINAS
724,SID.MIN.GER.,PFD A
725,BRVALEACNOR0,Vale
726,CA00143Y1034,AI/ML Innovations
727,CA00149L1058,AJN Resources
728,CA00165X1087,ALX Resources
729,CA00175D1006,AMPD Ventures
730,CA00208D4084,ARC Resources
731,CA00217Y1043,ATS
732,CA00258V1004,Abaxx Technologies
733,CA00288E3005,Abcourt Mines
734,CA00288U1066,ABCELLERA BIOLOGICS
735,CA00289T3064,Aben Resources
736,CA00386B1094,Absolute Software HANDELSUNIVERSUM
737,CA0042721005,Acadian Timber
738,CA00430K8730,Acasti Pharma
739,CA00444G4051,Acerus Pharmaceuticals
740,CA00489Y7090,Acreage Holdings
741,CA00510L1067,Acuityads
